              T              E       Evar/T^2              M         Mvar/T      MvarAbs/T            |M|     Num_config
      1.5000000     -1.9511382     0.12975221    -0.98650695   0.0010894667   0.0010894667     0.98650695       33476066
      1.6000000     -1.9282348     0.26137362    -0.97961974    0.042965799    0.042965799     0.97961974       83674165
      1.7000000     -1.8982074     0.34082590    -0.97009034    0.068815261    0.068815261     0.97009034      156577845
      1.8000000     -1.8592948     0.43848176    -0.95685893     0.11380026     0.11380026     0.95685893      259912691
      1.9000000     -1.8094569     0.56178601    -0.93829406     0.19828507     0.19828507     0.93829406      403759997
      2.0000000     -1.7455524     0.72582624    -0.91132288     0.38286317     0.38286317     0.91132288      601517184
      2.1000000     -1.6620941     0.96300981    -0.86876795     0.94161850     0.94161850     0.86876795      872323835
      2.2000000     -1.5458465      1.4965148    -0.78043230      14.642816      14.599782     0.78043837     1250438015
      2.3000000     -1.3476389      2.0893390    0.081387962      580.23696      140.79783     0.32816916     1811745909
      2.4000000     -1.2041429      1.1288700  -0.0052491354      66.946684      23.429064     0.10233173    -1779243120
      2.5000000     -1.1060760     0.85945296 -0.00034160500      24.910945      8.9309523    0.063206921     -971234353
      2.6000000     -1.0282404     0.70447073 -0.00067127720      13.594236      4.9303554    0.047466404      -76375303
      2.7000000    -0.96361713     0.59861609 -0.00013613140      8.9387358      3.2528933    0.039181577      893884434
      2.8000000    -0.90811467     0.51511166 -0.00010011300      6.3797141      2.3080576    0.033764979     1931180350
      2.9000000    -0.85992750     0.45108205 -0.00014574680      4.8354910      1.7576632    0.029876267    -1266110378
