              T              E       Evar/T^2              M         Mvar/T      MvarAbs/T            |M|     Num_config
      2.0000000     -1.7453829     0.72417826    -0.91086780     0.42830926     0.42673528     0.91087212        3964731
      2.0010000     -1.7451619     0.72434262    -0.91118697     0.37829606     0.37829606     0.91118697        7935763
      2.0020000     -1.7441425     0.73120625    -0.91056214     0.39548981     0.39548981     0.91056214       11911481
      2.0030000     -1.7434120     0.73423359    -0.91020694     0.39584215     0.39584215     0.91020694       15905722
      2.0040000     -1.7434102     0.72120725    -0.91055472     0.37578327     0.37578327     0.91055472       19890934
      2.0050000     -1.7415488     0.73821164    -0.90934949     0.40246210     0.40246210     0.90934949       23914914
      2.0060000     -1.7411835     0.73799380    -0.90924748     0.41017731     0.41017731     0.90924748       27929559
      2.0070000     -1.7403587     0.73848543    -0.90886833     0.41023888     0.41023888     0.90886833       31995015
      2.0080000     -1.7397188     0.73853579    -0.90862562     0.40822719     0.40822719     0.90862562       36055591
      2.0090000     -1.7394747     0.73803998    -0.90862396     0.40019664     0.40019664     0.90862396       40123310
      2.0100000     -1.7382561     0.74163047    -0.90795552     0.42418308     0.42418308     0.90795552       44195630
      2.0110000     -1.7374819     0.74540005    -0.90772993     0.40379555     0.40379555     0.90772993       48287329
      2.0120000     -1.7373020     0.74224319    -0.90767991     0.40770762     0.40770762     0.90767991       52389141
      2.0130000     -1.7357312     0.75577229    -0.90664808     0.43781372     0.43781372     0.90664808       56510619
      2.0140000     -1.7359179     0.74289948    -0.90708442     0.41151702     0.41151702     0.90708442       60630550
      2.0150000     -1.7343761     0.75283253    -0.90630956     0.41746905     0.41746905     0.90630956       64768339
      2.0160000     -1.7340497     0.74755386    -0.90619515     0.41395321     0.41395321     0.90619515       68941049
      2.0170000     -1.7329838     0.75973743    -0.90537247     0.44598693     0.44598693     0.90537247       73100965
      2.0180000     -1.7319732     0.76502241    -0.90498547     0.43566835     0.43566835     0.90498547       77279149
      2.0190000     -1.7316460     0.75610237    -0.90525415     0.41422600     0.41422600     0.90525415       81470777
      2.0200000     -1.7309981     0.76797388    -0.81623255      30.543723     0.47746135     0.90447233       85664539
      2.0210000     -1.7300719     0.76589311    -0.90408569     0.46132437     0.46132437     0.90408569       89888835
      2.0220000     -1.7293323     0.76634392    -0.90377145     0.45197417     0.45197417     0.90377145       94126199
      2.0230000     -1.7286719     0.77098563    -0.90331759     0.47159465     0.47159465     0.90331759       98368143
      2.0240000     -1.7276326     0.77431388    -0.53153646      105.79236     0.46863556     0.90303324      102645316
      2.0250000     -1.7271642     0.76811359    -0.90275999     0.45411490     0.45411490     0.90275999      106922050
      2.0260000     -1.7259800     0.76898472    -0.90235432     0.45154458     0.45154458     0.90235432      111218659
      2.0270000     -1.7253008     0.77659889    -0.90192073     0.46334517     0.46334517     0.90192073      115538138
      2.0280000     -1.7245667     0.77495110    -0.90169163     0.46097766     0.46097766     0.90169163      119851143
      2.0290000     -1.7237790     0.78052946    -0.90122829     0.47341152     0.47341152     0.90122829      124169565
      2.0300000     -1.7229975     0.78224127    -0.90085857     0.47025293     0.47025293     0.90085857      128499679
      2.0310000     -1.7220893     0.78420686    -0.90024494     0.48936701     0.48936701     0.90024494      132855426
      2.0320000     -1.7212831     0.78961397    -0.89990671     0.49306938     0.49306938     0.89990671      137231258
      2.0330000     -1.7201564     0.79592207    -0.89930751     0.49104506     0.49104506     0.89930751      141625483
      2.0340000     -1.7206594     0.78589706    -0.89998198     0.47330617     0.47330617     0.89998198      145991961
      2.0350000     -1.7190764     0.79415563    -0.89873795     0.51483789     0.51483789     0.89873795      150404607
      2.0360000     -1.7176974     0.80101367    -0.89793111     0.53106641     0.53106641     0.89793111      154846651
      2.0370000     -1.7176533     0.80847101    -0.52567577      104.64621     0.52695560     0.89808815      159286253
      2.0380000     -1.7167033     0.80865078    -0.53418288      102.59727     0.60130156     0.89722952      163747759
      2.0390000     -1.7151413     0.81191945    -0.89642773     0.58772191     0.58759529     0.89642809      168197755
      2.0400000     -1.7144511     0.81152109    -0.89639822     0.53847658     0.53847658     0.89639822      172710519
      2.0410000     -1.7142810     0.80446899    -0.89700403     0.49273762     0.49273762     0.89700403      177208911
      2.0420000     -1.7129149     0.81117036    -0.89554733     0.57902523     0.57868139     0.89554831      181709725
      2.0430000     -1.7121660     0.81741324    -0.89565875     0.52893073     0.52893073     0.89565875      186255216
      2.0440000     -1.7116254     0.82544498    -0.85672271      13.697544     0.57849037     0.89499283      190811924
      2.0450000     -1.7098806     0.82626595    -0.80778858      29.292801     0.58692141     0.89402528      195371875
      2.0460000     -1.7104338     0.81668724    -0.89481320     0.53207189     0.53207189     0.89481320      199944211
      2.0470000     -1.7094931     0.81777956    -0.89429964     0.54816797     0.54813302     0.89429974      204511679
      2.0480000     -1.7088370     0.82238101    -0.89383832     0.56577619     0.56577619     0.89383832      209113360
      2.0490000     -1.7075022     0.83018463    -0.37094847      129.39844     0.62847631     0.89287565      213736247
      2.0500000     -1.7060635     0.83454592    -0.89241915     0.56213828     0.56213828     0.89241915      218395978
      2.0510000     -1.7059911     0.83547252    -0.89226714     0.57899395     0.57899395     0.89226714      223030351
      2.0520000     -1.7052424     0.82737473    -0.89221276     0.55253111     0.55253111     0.89221276      227687327
      2.0530000     -1.7037478     0.84874934    -0.89104898     0.60236410     0.60236410     0.89104898      232391650
      2.0540000     -1.7038842     0.83662543    -0.89144027     0.58664523     0.58600638     0.89144211      237087312
      2.0550000     -1.7027688     0.84649117    -0.89084621     0.63660675     0.62099335     0.89089123      241781973
      2.0560000     -1.7019153     0.84654946    -0.89041052     0.59487861     0.59487861     0.89041052      246483382
      2.0570000     -1.7002953     0.85871091    -0.73677066      48.791397     0.71602861     0.88885240      251211579
      2.0580000     -1.6997265     0.84265911    -0.88925029     0.59826245     0.59826245     0.88925029      255958308
      2.0590000     -1.6993478     0.84718361    -0.72883739      50.955986     0.64119345     0.88893157      260722597
      2.0600000     -1.6979910     0.85542827    -0.66922338      66.799397     0.70950098     0.88781918      265485436
      2.0610000     -1.6986193     0.84431923    -0.88900307     0.59638092     0.59231589     0.88901485      270261024
      2.0620000     -1.6968126     0.86322121    -0.48890170      107.11390     0.64597071     0.88761876      275067192
      2.0630000     -1.6957098     0.86714855    -0.77955030      35.338161     0.73357089     0.88666332      279889807
      2.0640000     -1.6949526     0.85430966    -0.88660299     0.65336974     0.65336974     0.88660299      284745907
      2.0650000     -1.6943513     0.85756503    -0.88663629     0.62699157     0.62699157     0.88663629      289568869
      2.0660000     -1.6930174     0.86605480    -0.88573706     0.65336493     0.65336493     0.88573706      294442747
      2.0670000     -1.6919885     0.87855470    -0.76531521      38.942304     0.68267631     0.88510677      299308727
      2.0680000     -1.6920829     0.87222268    -0.88543846     0.67472852     0.67434489     0.88543958      304184601
      2.0690000     -1.6901912     0.87922803    -0.72637228      49.742864     0.72262260     0.88384042      309116251
      2.0700000     -1.6895441     0.87346449    -0.88424987     0.64673006     0.64673006     0.88424987      314068299
      2.0710000     -1.6881595     0.88543248    -0.20194104      143.46307     0.72911651     0.88305448      319005328
      2.0720000     -1.6868802     0.89430364    -0.59783025      81.961721     0.83292142     0.88184363      324027112
      2.0730000     -1.6866254     0.88452506    -0.88216255     0.71491561     0.71477943     0.88216295      329020773
      2.0740000     -1.6865230     0.88499015    -0.82572459      19.432423     0.69415179     0.88259789      334021634
      2.0750000     -1.6847931     0.90047407    -0.88093217     0.76086076     0.76086076     0.88093217      339046291
      2.0760000     -1.6847162     0.89308488    -0.51850741      98.619788     0.77477313     0.88128631      344095167
      2.0770000     -1.6823043     0.90615872    -0.51733873      98.228058     0.78052775     0.87956561      349130393
      2.0780000     -1.6820615     0.90839568    -0.28937775      133.54619     0.86516635     0.87921409      354179750
      2.0790000     -1.6813785     0.90248779    -0.87953285     0.74622700     0.74622700     0.87953285      359263955
      2.0800000     -1.6813092     0.89715566    -0.87988229     0.71237311     0.71237311     0.87988229      364315142
      2.0810000     -1.6789723     0.90952756    -0.49063000      102.70965     0.75670629     0.87813892      369436990
      2.0820000     -1.6792231     0.91813701    -0.87833070     0.78127991     0.78079392     0.87833214      374524472
      2.0830000     -1.6770966     0.92870160    -0.54676811      91.020640     0.90114215     0.87650023      379679404
      2.0840000     -1.6765554     0.92045394    -0.80493727      23.973272     0.82088963     0.87666865      384851167
      2.0850000     -1.6768082     0.91533165    -0.87736274     0.76120212     0.76015854     0.87736584      389998405
      2.0860000     -1.6762813     0.91669435    -0.51623319      97.194849     0.76753950     0.87713461      395175279
      2.0870000     -1.6744073     0.91877303    -0.59023073      81.069841     0.79120678     0.87591443      400365497
      2.0880000     -1.6732182     0.92820213    -0.53130433      93.386616     0.86912819     0.87477173      405565912
      2.0890000     -1.6722506     0.93638974    -0.70744111      51.436185     0.87890255     0.87436167      410796984
      2.0900000     -1.6710528     0.93505621    -0.87377027     0.85387692     0.85387692     0.87377027      416020020
      2.0910000     -1.6690003     0.96160298    -0.56571406      85.059039     0.99064156     0.87149294      421318089
      2.0920000     -1.6692271     0.94517912    -0.45842828      106.26524     0.93398273     0.87237548      426630749
      2.0930000     -1.6679717     0.93773185    -0.87237566     0.82327148     0.82327148     0.87237566      431955432
      2.0940000     -1.6677383     0.94386546    -0.85823583      5.3965510     0.85244681     0.87198459      437301570
      2.0950000     -1.6671954     0.94331908    -0.67881788      58.050757     0.85506907     0.87198402      442597951
      2.0960000     -1.6652755     0.95823558    -0.61507158      73.238755     0.93393024     0.87016684      447942624
      2.0970000     -1.6665463     0.93014213    -0.63813451      68.230482     0.81631107     0.87214359      453316598
      2.0980000     -1.6635284     0.95210929    -0.86970218     0.88869531     0.88829735     0.86970338      458706904
      2.0990000     -1.6626616     0.96476882    -0.86890454     0.94878641     0.94167281     0.86892602      464111814
      2.1000000     -1.6623016     0.96256606    -0.86902981     0.94179695     0.93869160     0.86903919      469554159
      2.1010000     -1.6614431     0.96099913    -0.69298709      53.105373     0.94054097     0.86846237      474993655
      2.1020000     -1.6598154     0.96860401    -0.65303728      63.011432     0.99288180     0.86738986      480451286
      2.1030000     -1.6594808     0.96957533    -0.67282230      57.909158     0.97048358     0.86720524      485914457
      2.1040000     -1.6576100     0.97103050   -0.049038280      143.21546     0.98214120     0.86634406      491435097
      2.1050000     -1.6561206     0.99885407    -0.22974268      132.94989      1.2355855     0.86367138      496945781
      2.1060000     -1.6566041     0.97657851    -0.59974585      74.956135      1.0133217     0.86545017      502477871
      2.1070000     -1.6542544     0.99436633    -0.16864447      137.23959      1.0525404     0.86360073      508001774
      2.1080000     -1.6545605     0.98114735    -0.49031378      97.210513      1.0037243     0.86453304      513564529
      2.1090000     -1.6539828     0.98353506    -0.72008871      44.317774     0.99914064     0.86424837      519138985
      2.1100000     -1.6529483     0.98891781    -0.85301787      4.5023073      1.0072403     0.86375689      524743479
      2.1110000     -1.6504709      1.0012078    -0.16819995      136.36244      1.1060416     0.86145625      530341830
