              T              E       Evar/T^2              M         Mvar/T      MvarAbs/T            |M|     Num_config
      2.0000000     -1.7456561     0.72200434    -0.91136921     0.38281898     0.38281898     0.91136921       35634798
      2.0100000     -1.7382295     0.74613997    -0.90793984     0.41406917     0.41406917     0.90793984       72383384
      2.0200000     -1.7307689     0.76146996    -0.90451048     0.44188985     0.44188985     0.90451048      110245036
      2.0300000     -1.7229771     0.78483480    -0.90064391     0.49092668     0.49092668     0.90064391      149319987
      2.0400000     -1.7147417     0.81122117    -0.89666339     0.53411282     0.53411282     0.89666339      189714004
      2.0500000     -1.7069049     0.82735639    -0.89290085     0.56883751     0.56883751     0.89290085      231381344
      2.0600000     -1.6983107     0.85832714    -0.88845761     0.63376727     0.63376727     0.88845761      274426254
      2.0700000     -1.6895710     0.87900975    -0.88388087     0.69352713     0.69352713     0.88388087      318805037
      2.0800000     -1.6807104     0.90741902    -0.87915831     0.75534594     0.75534594     0.87915831      364623329
      2.0900000     -1.6716056     0.92924198    -0.87411257     0.84151986     0.84151986     0.87411257      411859831
      2.1000000     -1.6620295     0.96823783    -0.86874367     0.96250236     0.96250236     0.86874367      460550049
      2.1100000     -1.6526407     0.97857981    -0.86357606      1.0070295      1.0070295     0.86357606      510851102
      2.1200000     -1.6423629      1.0342842    -0.85713664      1.1604068      1.1604068     0.85713664      562800305
      2.1300000     -1.6317616      1.0636632    -0.85056882      1.3904570      1.3904570     0.85056882      616397930
      2.1400000     -1.6209325      1.0997227    -0.84343397      1.5624938      1.5624938     0.84343397      671989843
      2.1500000     -1.6098277      1.1427854    -0.83566889      1.8353137      1.8353137     0.83566889      729339343
      2.1600000     -1.5981741      1.1929133    -0.82713649      2.4239648      2.4239648     0.82713649      788389373
      2.1700000     -1.5862031      1.2118023    -0.81923571      2.2426535      2.2426535     0.81923571      849419660
      2.1800000     -1.5734459      1.2931765    -0.80832920      3.0694395      3.0694395     0.80832920      912561343
      2.1900000     -1.5594684      1.3701892    -0.79541622      4.2278732      4.2278732     0.79541622      978180980
      2.2000000     -1.5466991      1.4334196    -0.78437805      5.1309369      5.1309369     0.78437805     1045688218
      2.2100000     -1.5325871      1.4556597    -0.77285660      5.0322976      5.0322976     0.77285660     1115567456
      2.2200000     -1.5169846      1.5703754    -0.75453199      7.7150318      7.7150318     0.75453199     1188535124
      2.2300000     -1.4990791      1.7224525    -0.72954880      13.368070      13.225149     0.72960948     1264205478
      2.2400000     -1.4832549      1.8008961    -0.51712137      398.58098      16.457653     0.71076025     1342189642
      2.2500000     -1.4623867      2.0054894    0.042007578      746.89086      30.525760     0.67044226     1423737320
      2.2600000     -1.4451657      2.0641773   -0.033603212      698.21282      29.422392     0.64883044     1508886916
      2.2700000     -1.4219244      2.2104433    0.056735716      606.95550      43.242043     0.59889197     1597816124
      2.2800000     -1.4019812      2.2096521   -0.015264497      537.61149      54.254955     0.55349689     1689644358
      2.2900000     -1.3847890      2.1299297    0.031381927      495.34974      47.949627     0.53439780     1784067153
      2.3000000     -1.3552083      2.1184372   -0.017094850      363.45160      64.829889     0.43712507     1883900354
      2.3100000     -1.3343007      1.9473369   -0.089084772      285.04517      60.317291     0.39004677     1986998068
      2.3200000     -1.3187584      1.8567750  -0.0014058933      262.77514      56.885751     0.36426124     2092775185
      2.3300000     -1.2989044      1.7082819   -0.017606402      203.29928      52.550768     0.31285423    -2092614473
      2.3400000     -1.2854539      1.6076094   -0.021916909      184.10992      47.571680     0.29871426    -1980634904
      2.3500000     -1.2680769      1.4715071    0.014200037      136.56964      42.414423     0.24832253    -1865506246
      2.3600000     -1.2536080      1.3684697   -0.011469122      115.34589      35.478952     0.22910424    -1747471643
      2.3700000     -1.2400365      1.2873904    0.013634840      95.973131      31.133214     0.20705600    -1627251882
      2.3800000     -1.2280603      1.2619930   -0.016477877      86.015719      28.396938     0.19586714    -1504943198
      2.3900000     -1.2155968      1.1925971  -0.0051967278      71.852771      24.108422     0.17811218    -1380155063
      2.4000000     -1.2044814      1.1562395  -0.0013479122      65.503246      22.461306     0.16940025    -1253273302
