              T              E       Evar/T^2              M         Mvar/T      MvarAbs/T            |M|     Num_config
      2.2000000     -1.5465978      1.3849168    -0.78499645      4.4646263      4.4646263     0.78499645      240517950
      2.2100000     -1.5316399      1.5064957    -0.76925238      6.7772403      6.7772403     0.76925238      489679222
      2.2200000     -1.5167075      1.5983751    -0.75342079      9.0614141      9.0614141     0.75342079      747833793
      2.2300000     -1.4994707      1.7532876    -0.63605818      386.21692      16.699659     0.73029013     1016351241
      2.2400000     -1.4819216      1.8796224    -0.29856450      1184.0155      28.548022     0.70253424     1295275307
      2.2500000     -1.4637287      1.9826574    -0.41334988      847.38598      30.991724     0.67666220     1585056250
      2.2600000     -1.4427397      2.2004240  -0.0061559497      1185.9374      52.152996     0.63277603     1889424648
      2.2700000     -1.4187232      2.3750434    -0.13781910      942.59120      77.545368     0.57080211    -2089990869
      2.2800000     -1.3941887      2.4034699   0.0041007438      793.84694      101.22083     0.49675433    -1757367801
      2.2900000     -1.3771502      2.3120121    0.015454955      720.52273      93.069752     0.47407739    -1416003790
      2.3000000     -1.3517670      2.0925050    0.019974800      517.49326      99.107474     0.38827359    -1057567521
      2.3100000     -1.3309336      1.9211667  -0.0069061959      386.54429      93.013696     0.32556703     -687445098
      2.3200000     -1.3129021      1.7905844   0.0062007909      302.60267      82.663825     0.28242925     -305764741
      2.3300000     -1.2964824      1.6176868  0.00044466937      236.73188      69.792737     0.24652886       86551951
      2.3400000     -1.2809688      1.5006372    0.013951896      193.60181      58.978436     0.22229783      487992599
      2.3500000     -1.2656921      1.3604121   -0.010936882      140.69756      44.531993     0.18822967      899064569
