              T              E       Evar/T^2              M         Mvar/T      MvarAbs/T            |M|     Num_config
      2.0000000     -1.7456641     0.71881684    -0.91137475     0.37777781     0.37777781     0.91137475       15790309
      2.0500000     -1.7069081     0.82894270    -0.89301698     0.55854296     0.55854296     0.89301698       34297505
      2.1000000     -1.6625576     0.96619750    -0.86900309     0.98259333     0.98259333     0.86900309       55916082
      2.1500000     -1.6106941      1.1294409    -0.83672158      1.7524317      1.7524317     0.83672158       81204793
      2.2000000     -1.5455358      1.4490673    -0.57038580      213.66549      5.5909782     0.78194783      111273250
      2.2500000     -1.4658086      1.8189211    -0.21456408      319.86900      15.067498     0.68895925      147484908
      2.3000000     -1.3675879      1.9864263   -0.084486882      217.06538      28.598434     0.52731326      191021880
      2.3500000     -1.2759678      1.5937434   -0.013619423      115.10560      27.854443     0.35823962      241649282
      2.4000000     -1.2066682      1.2020153   -0.020657917      60.605887      18.601832     0.25185875      297663265
