              T              E       Evar/T^2              M         Mvar/T      MvarAbs/T            |M|     Num_config
      2.2000000     -1.5470413      1.4113271    -0.59064618      199.63758      4.6766639     0.78545157       59975345
      2.2100000     -1.5329132      1.4932770    -0.39003484      326.89387      6.2832348     0.77134339      121938197
      2.2200000     -1.5172120      1.5512227    -0.18211534      394.83193      6.9351853     0.75589201      186394381
      2.2300000     -1.5018152      1.6378347    -0.41491739      276.45280      9.0079934     0.73817859      253264031
      2.2400000     -1.4846112      1.7048630    0.015271224      378.23613      11.185209     0.71701081      322491355
      2.2500000     -1.4672166      1.8082031    -0.14929411      340.02170      14.810701     0.69254365      394401349
      2.2600000     -1.4487533      1.8788430     0.10629536      324.86172      17.126884     0.66781296      469314199
      2.2700000     -1.4280563      1.9787466   -0.048893085      302.49595      20.604114     0.63429061      547160173
      2.2800000     -1.4070389      2.0116010    0.053533947      272.54609      24.785784     0.59659394      628106131
      2.2900000     -1.3895393      2.0118240     0.15445555      237.07564      25.689371     0.57131700      711496379
      2.3000000     -1.3700114      2.0204389    0.014797984      227.35826      29.359759     0.53370574      798277316
      2.3100000     -1.3492906      1.9549312    0.029751080      199.47998      30.245628     0.49519412      887896682
      2.3200000     -1.3280480      1.9000714    0.026457592      171.25577      31.693686     0.45062736      980847747
      2.3300000     -1.3112232      1.8147399  -0.0065157875      153.38120      31.120593     0.42200055     1076801332
      2.3400000     -1.2926214      1.6910544  -0.0010818125      132.36274      29.284829     0.38826873     1174770102
      2.3500000     -1.2794569      1.6463380  -0.0020880050      123.50400      27.927122     0.37467705     1275636182
