              T              E       Evar/T^2              M         Mvar/T      MvarAbs/T            |M|     Num_config
      2.0000000     -1.7456641     0.71881684    -0.91137475     0.37777781     0.37777781     0.91137475       15790309
      2.0100000     -1.7382317     0.74388313    -0.90796655     0.41456040     0.41456040     0.90796655       32108322
      2.0200000     -1.7310354     0.76280590    -0.90467392     0.44021560     0.44021560     0.90467392       48920870
      2.0300000     -1.7231853     0.78420126    -0.90082763     0.48515000     0.48515000     0.90082763       66247130
      2.0400000     -1.7149893     0.80884591    -0.89685801     0.52493286     0.52493286     0.89685801       84160198
      2.0500000     -1.7070803     0.82462771    -0.89293608     0.58847695     0.58847695     0.89293608      102659308
      2.0600000     -1.6988696     0.85280571    -0.88887258     0.62415165     0.62415165     0.88887258      121760888
      2.0700000     -1.6897914     0.87291371    -0.88399164     0.69425033     0.69425033     0.88399164      141446358
      2.0800000     -1.6815197     0.89719104    -0.88002590     0.71508069     0.71508069     0.88002590      161742166
      2.0900000     -1.6719215     0.93107202    -0.87434275     0.87655738     0.87655738     0.87434275      182732045
      2.1000000     -1.6620912     0.95478071    -0.86893398     0.91812469     0.91812469     0.86893398      204387619
      2.1100000     -1.6526476     0.98726992    -0.86332721      1.0136497      1.0136497     0.86332721      226756286
      2.1200000     -1.6420092      1.0373941    -0.85626966      1.3081093      1.3081093     0.85626966      249891005
      2.1300000     -1.6318394      1.0709447    -0.85029487      1.3879427      1.3879427     0.85029487      273692856
      2.1400000     -1.6216728      1.0943355    -0.84414759      1.4827870      1.4827870     0.84414759      298322204
      2.1500000     -1.6096866      1.1415851    -0.83569184      1.9166812      1.8942114     0.83570990      323791916
      2.1600000     -1.5980545      1.1740709    -0.82793227      2.0143340      2.0143340     0.82793227      350102828
      2.1700000     -1.5860573      1.2244948    -0.81863969      2.4215968      2.4215968     0.81863969      377292412
      2.1800000     -1.5731726      1.2804999    -0.80838265      2.9769615      2.9769615     0.80838265      405451517
      2.1900000     -1.5603509      1.3356746    -0.79738078      3.6664740      3.6431596     0.79740079      434529003
      2.2000000     -1.5465648      1.4041012    -0.49415385      274.63551      4.5479749     0.78457530      464767632
      2.2100000     -1.5312474      1.4969912    -0.39921151      318.75768      6.2615128     0.76876860      496086936
      2.2200000     -1.5148313      1.6061812   -0.071948897      409.70308      8.6027441     0.74946872      528664479
      2.2300000     -1.5001653      1.6648096    -0.20653151      366.51541      9.6651434     0.73485735      562035929
      2.2400000     -1.4823403      1.7762372   -0.076434472      369.07586      12.710209     0.71046051      596707535
      2.2500000     -1.4648080      1.8464631    -0.11159416      342.55625      14.867312     0.68794319      633061778
      2.2600000     -1.4465380      1.8924720   -0.091153980      321.61904      17.294935     0.66194172      670666101
      2.2700000     -1.4332581      1.8777723   -0.099879125      308.53680      16.977753     0.65086499      709443198
      2.2800000     -1.4104553      1.9875024    -0.12393203      271.02340      22.261355     0.60814888      749410164
      2.2900000     -1.3853341      2.0386311    -0.12765123      232.06101      28.864532     0.55418391      791669675
      2.3000000     -1.3697828      2.0055300     0.11409229      218.31582      28.439597     0.53475614      834813773
      2.3100000     -1.3473042      1.9455885   -0.025194002      194.29356      31.764245     0.48506333      879815394
      2.3200000     -1.3288204      1.9099267   -0.011505207      174.72991      31.119653     0.45647261      926436502
      2.3300000     -1.3112905      1.8368854   -0.013183662      153.76957      31.529096     0.42212143      974183934
      2.3400000     -1.2922315      1.6764208   -0.046459248      129.78364      28.568443     0.38753798     1023482155
      2.3500000     -1.2745070      1.5770960   0.0076138225      110.88582      28.178923     0.34861688     1074101658
      2.3600000     -1.2634532      1.5313135   -0.010919565      107.50220      26.534416     0.34575529     1125453869
      2.3700000     -1.2452609      1.3969310   0.0074408775      86.658932      23.619045     0.30566845     1178471428
      2.3800000     -1.2324769      1.3332146   0.0024142200      77.479114      22.288185     0.28653505     1232566122
      2.3900000     -1.2210711      1.2828843   0.0044671300      71.284754      20.849266     0.27451405     1287651991
      2.4000000     -1.2076219      1.2327134   0.0030869650      63.151482      19.191382     0.25680669     1343771847
