              T              E       Evar/T^2              M         Mvar/T      MvarAbs/T            |M|     Num_config
      1.5000000     -1.9511547     0.15423873    -0.98651359    0.010444275    0.010444275     0.98651359       21405148
      1.6000000     -1.9282428     0.26245214    -0.97962330    0.043206739    0.043206739     0.97962330       53543749
      1.7000000     -1.8981527     0.34213816    -0.97006925    0.069261829    0.069261829     0.97006925      100226594
      1.8000000     -1.8592850     0.44009410    -0.95684655     0.11411561     0.11411561     0.95684655      166351200
      1.9000000     -1.8094734     0.56188236    -0.93829276     0.19835157     0.19835157     0.93829276      258445700
      2.0000000     -1.7455521     0.72704583    -0.91128901     0.38787762     0.38787762     0.91128901      384923370
      2.1000000     -1.6621353     0.96632408    -0.86883257     0.94953970     0.94953970     0.86883257      558164828
      2.2000000     -1.5462176      1.4115444    -0.78434028      4.8521039      4.8521039     0.78434028      798788686
      2.3000000     -1.3498667      2.1113528  0.00078860969      488.83016      101.55564     0.37306488     1156422676
      2.4000000     -1.2043126      1.1301322  -0.0011750347      66.108764      22.682733     0.12761717     1606978026
      2.5000000     -1.1061266     0.86071588  -0.0015724922      24.977126      8.9466482    0.079147825     2124115235
      2.6000000     -1.0282341     0.70328164  0.00011846062      13.836302      5.0015126    0.059909492    -1598196239
      2.7000000    -0.96358233     0.59939988 -0.00019971094      9.0749206      3.2762927    0.049460449     -977314567
      2.8000000    -0.90811658     0.51231971 -0.00020483625      6.4644806      2.3442918    0.042457326     -313331563
      2.9000000    -0.85988561     0.45189410  0.00029672563      4.8569588      1.7581891    0.037472898      389229906
