              T              E       Evar/T^2              M         Mvar/T      MvarAbs/T            |M|     Num_config
      1.5000000     -1.9511263     0.19495604    -0.98650436    0.026108265    0.026108265     0.98650436        1339951
      1.6000000     -1.9283453     0.26232030    -0.97965376    0.043066767    0.043066767     0.97965376        3342834
      1.7000000     -1.8982485     0.34167777    -0.97010546    0.069024612    0.069024612     0.97010546        6258201
      1.8000000     -1.8593262     0.43828606    -0.95684871     0.11362423     0.11362423     0.95684871       10405270
      1.9000000     -1.8094668     0.56260991    -0.93826706     0.19896508     0.19896508     0.93826706       16165588
      2.0000000     -1.7456830     0.72279776    -0.91148261     0.37843151     0.37843151     0.91148261       24068567
      2.1000000     -1.6627965     0.95755950  -0.0061153900      144.83784     0.92290789     0.86924727       34873039
      2.2000000     -1.5480143      1.3356007     0.14547448      112.56875      3.0605058     0.78959368       49755796
      2.3000000     -1.3943270      1.6466545   -0.019943855      78.313424      7.4011542     0.63886095       70506762
      2.4000000     -1.2367518      1.4108210    0.010564870      43.066029      8.8551175     0.45318549       97420005
      2.5000000     -1.1173438     0.99206866   0.0039401550      22.650302      6.4730567     0.31799891      129304851
      2.6000000     -1.0319288     0.74911068   0.0038831350      13.432322      4.3255563     0.24332911      164954411
      2.7000000    -0.96482022     0.61190552 -0.00098679000      8.9157650      3.0036081     0.19976995      203751679
      2.8000000    -0.90890111     0.52048189  -0.0023331400      6.4319557      2.2302611     0.17151474      245233931
      2.9000000    -0.86015029     0.45421776  0.00082775000      4.8421906      1.7008643     0.15091488      289122152
