              T              E       Evar/T^2              M         Mvar/T      MvarAbs/T            |M|     Num_config
      2.0000000     -1.7457173     0.72898834    -0.91137633     0.38753026     0.38753026     0.91137633       63263363
      2.0500000     -1.7068938     0.82566167    -0.89291612     0.56395481     0.56395481     0.89291612      137276547
      2.1000000     -1.6621183     0.96388650    -0.86875707     0.96069345     0.96069345     0.86875707      223934960
      2.1500000     -1.6098655      1.1484626    -0.83566392      1.8352930      1.8352930     0.83566392      325599002
      2.2000000     -1.5464641      1.4043467    -0.78526350      4.2946732      4.2946732     0.78526350      445853097
      2.2500000     -1.4642828      1.9288627    -0.67990179      27.512593      26.119882     0.68026177      590354391
      2.3000000     -1.3507581      2.1624367   -0.021959229      493.52827      106.29771     0.37368863      768929355
      2.3500000     -1.2668475      1.4445537   -0.018386949      152.81183      49.743933     0.19540554      973804871
      2.4000000     -1.2042208      1.1429576  -0.0030656706      67.016165      23.966254     0.12709490     1199167056
